ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication,Quintil,int_rc,Tasa_Interes_Completa
10001,737,0.479046981473649,34979,63,6,12,2904,8,15,Mortgage,High School,Widowed,20,37752.0,3,0.22790522171659064,0.37790522171659063
10002,411,0.4429300904574954,56459,28,7,4,17639,11,4,Rent,High School,Widowed,21,52917.0,5,0.21742592983904563,0.36742592983904565
10003,732,0.5323139674561232,76570,26,5,8,17730,7,10,Rent,High School,Widowed,10,106380.0,1,0.07,0.22
10004,710,0.295540978309909,86752,51,8,16,7166,16,18,Mortgage,Masters,Widowed,17,35830.0,3,0.2261430515155266,0.3761430515155266
10005,848,0.2483777846419732,102286,29,4,8,4688,16,1,Own,High School,Widowed,26,32816.0,5,0.23842273156786895,0.38842273156786894
10006,828,0.3431732780464748,72326,66,9,7,4809,13,27,Mortgage,High School,Divorced,9,57708.0,4,0.2504419423155749,0.40044194231557484
10007,433,0.6888419576261036,117902,43,8,0,17240,15,13,Mortgage,Masters,Divorced,3,103440.0,1,0.15847421885449522,0.3084742188544952
10008,624,0.0079853559775933,152049,34,5,7,12710,9,2,Rent,High School,Widowed,14,139810.0,1,0.07,0.22
10009,685,0.0912461864297545,110153,65,7,7,10950,4,28,Rent,Masters,Divorced,1,229950.0,4,0.24765842630033544,0.39765842630033543
10010,502,0.1230414873907888,156750,49,6,5,13097,3,7,Own,High School,Divorced,16,248843.0,5,0.24884444158518695,0.39884444158518695
10011,460,0.0303563361865748,60207,41,4,4,10571,6,7,Mortgage,Masters,Widowed,16,73997.0,2,0.19319382751738393,0.3431938275173839
10012,556,0.4605760533573664,25140,55,5,6,13563,18,15,Rent,Masters,Widowed,1,94941.0,1,0.08812430858614662,0.2381243085861466
10013,844,0.5121728304538827,87135,87,9,1,9882,3,13,Rent,High School,Widowed,8,138348.0,1,0.07,0.22
10014,743,0.098325106333344,173959,49,7,19,8299,7,0,Mortgage,High School,Widowed,24,149382.0,1,0.07,0.22
10015,342,0.0269260794125715,63666,87,9,9,19378,8,25,Mortgage,High School,Widowed,28,174402.0,2,0.2007534095714987,0.3507534095714987
10016,587,0.5051635442564755,34557,67,8,8,13530,0,0,Mortgage,High School,Widowed,18,40590.0,1,0.07,0.22
10017,810,0.3566282070162758,54762,81,8,19,3896,5,1,Rent,Bachelor,Widowed,5,27272.0,3,0.22822494600212934,0.3782249460021293
10018,302,0.1142218851480243,168242,38,8,18,9034,9,13,Rent,Masters,Widowed,6,63238.0,1,0.07,0.22
10019,561,0.6969307757468237,148137,27,8,12,12686,6,9,Rent,Bachelor,Widowed,5,215662.0,5,0.2427480608059669,0.3927480608059669
10020,377,0.5278148223627023,166517,28,7,0,7252,10,2,Own,High School,Divorced,1,101528.0,5,0.24073020826877434,0.39073020826877436
10021,726,0.1740462772309545,146746,43,6,15,12079,17,24,Mortgage,PhD,Widowed,14,120790.0,2,0.20025189163768237,0.35025189163768233
10022,534,0.0322561479225805,136033,46,9,1,11891,2,18,Mortgage,High School,Divorced,17,202147.0,4,0.24472366540217133,0.3947236654021713
10023,789,0.9413113410991132,25695,31,5,2,12146,1,13,Mortgage,High School,Widowed,11,267212.0,2,0.19782656336446205,0.34782656336446205
10024,749,0.1134693857247679,129106,72,9,0,16145,9,7,Rent,Masters,Divorced,2,306755.0,1,0.07,0.22
10025,513,0.0095497053011478,133533,55,5,8,5636,9,23,Rent,High School,Widowed,17,101448.0,1,0.07713699770877132,0.22713699770877133
10026,500,0.4396256927976116,137810,87,6,4,5257,1,2,Rent,High School,Divorced,7,89369.0,1,0.13330265175199266,0.28330265175199265
10027,807,0.3765072678471363,101350,79,3,19,8072,5,1,Mortgage,High School,Widowed,0,137224.0,3,0.2260092412542042,0.3760092412542042
10028,321,0.6173467396967849,55566,21,3,1,5321,0,14,Mortgage,Masters,Divorced,14,53210.0,5,0.2525352210758193,0.4025352210758193
10029,317,0.1175275334024498,38847,33,8,3,17436,12,12,Rent,High School,Divorced,24,87180.0,5,0.23086910026861193,0.3808691002686119
10030,306,0.4277647761460058,149304,30,6,10,14221,7,4,Rent,Masters,Divorced,16,241757.0,4,0.24816925751591687,0.39816925751591686
10031,453,0.3112843734405391,153983,43,4,15,18533,0,14,Rent,High School,Widowed,11,111198.0,4,0.24419271398689013,0.39419271398689015
10032,544,0.0881325599396851,123478,22,7,10,18077,13,11,Rent,Masters,Single,25,72308.0,2,0.1989989852345121,0.3489989852345121
10033,460,0.1590269168013699,127728,36,9,8,12360,17,4,Own,Bachelor,Widowed,14,173040.0,4,0.2470236645916553,0.3970236645916553
10034,685,0.864404421262959,148266,35,6,0,4190,2,21,Rent,Masters,Divorced,7,12570.0,5,0.25574483796374214,0.40574483796374217
10035,394,0.7074052959076863,133296,46,8,14,12180,0,8,Mortgage,Masters,Divorced,2,133980.0,3,0.22757578494953948,0.3775757849495395
10036,516,0.3143796593710414,51343,43,9,8,6820,3,5,Mortgage,Bachelor,Widowed,19,54560.0,3,0.22684718763781112,0.3768471876378111
10037,578,0.0649048512698934,78678,85,7,13,11399,5,3,Rent,Masters,Divorced,9,136788.0,1,0.0925047462806397,0.2425047462806397
10038,536,0.3218254543152953,33674,63,8,11,7175,4,1,Own,Masters,Widowed,1,129150.0,1,0.07,0.22
10039,593,0.3795315689111994,158350,19,8,5,7862,6,13,Mortgage,PhD,Divorced,11,133654.0,1,0.15675503671341598,0.306755036713416
10040,812,0.0135688105747538,63420,65,4,1,6263,5,19,Rent,High School,Widowed,25,50104.0,2,0.1972494077826516,0.34724940778265156
10041,624,0.4358259711032395,151875,25,5,4,14866,3,9,Own,High School,Widowed,5,178392.0,1,0.07,0.22
10042,809,0.0983103893248005,160057,58,3,10,10877,1,27,Mortgage,High School,Widowed,11,108770.0,4,0.24498296192893645,0.39498296192893645
10043,355,0.0688631063049124,178046,89,6,3,4182,13,1,Mortgage,High School,Widowed,8,41820.0,5,0.22692151270982525,0.3769215127098252
10044,792,0.2520325625321646,44003,70,9,1,14187,0,28,Mortgage,Masters,Widowed,9,212805.0,5,0.24183543973586538,0.3918354397358654
10045,423,0.9096815845602916,78213,35,9,13,13046,8,13,Rent,Masters,Divorced,3,221782.0,3,0.22865763004691558,0.37865763004691555
10046,440,0.1804019010027925,65593,66,9,11,2622,10,6,Rent,High School,Widowed,0,39330.0,1,0.07,0.22
10047,820,0.3787255549115349,48976,30,9,5,3861,1,18,Mortgage,PhD,Widowed,20,34749.0,1,0.07821670771769712,0.22821670771769711
10048,630,0.4874379046568359,125483,19,5,4,18729,4,10,Mortgage,High School,Divorced,1,56187.0,4,0.24515771787664256,0.39515771787664256
10049,821,0.3932005069594873,103563,77,8,14,11886,9,29,Mortgage,Masters,Widowed,3,95088.0,4,0.24628555228685003,0.39628555228685003
10050,822,0.3390848763878119,126478,66,9,10,4138,0,0,Own,High School,Widowed,4,78622.0,2,0.1952921064024145,0.3452921064024145
10051,727,0.0663334168063698,61987,52,2,11,5722,17,28,Mortgage,High School,Widowed,1,28610.0,4,0.2460158651697183,0.3960158651697183
10052,675,0.693203304752534,106962,39,8,3,6011,12,8,Mortgage,High School,Widowed,26,24044.0,2,0.19718026508474124,0.3471802650847412
10053,610,0.0112062229957949,142855,70,4,18,4113,11,13,Own,High School,Widowed,5,41130.0,3,0.22708081144451348,0.37708081144451344
10054,436,0.1063746411375482,176577,79,9,0,16222,9,2,Rent,Masters,Married,22,97332.0,5,0.24868885199148522,0.3986888519914852
10055,604,0.2493933324196662,130014,20,5,15,16246,6,24,Rent,Masters,Divorced,10,243690.0,2,0.20057073908724452,0.3505707390872445
10056,570,0.0239393852759406,174522,28,2,3,17027,10,12,Rent,PhD,Widowed,18,306486.0,5,0.22097240808640672,0.37097240808640675
10057,700,0.4457468635794926,76775,86,9,1,2969,8,2,Mortgage,High School,Widowed,4,53442.0,1,0.07,0.22
10058,441,0.3099436059789231,105555,67,9,6,14578,16,22,Rent,Masters,Widowed,5,306138.0,5,0.22936283913911915,0.37936283913911917
10059,607,0.2027386261894344,117098,89,0,19,5035,5,13,Rent,High School,Widowed,5,30210.0,2,0.20224873897376436,0.35224873897376435
10060,671,0.2026507154537716,65616,54,7,8,9325,19,7,Mortgage,Masters,Widowed,0,74600.0,3,0.22294078753514157,0.3729407875351416
10061,759,0.4527908857701047,189172,58,4,3,6758,0,2,Mortgage,Masters,Divorced,11,101370.0,5,0.2490801639261516,0.3990801639261516
10062,653,0.0272946266038021,122999,85,1,7,12591,10,15,Rent,High School,Widowed,10,201456.0,1,0.07731876005547432,0.2273187600554743
10063,369,0.4139852776333019,118703,20,8,8,12814,7,8,Rent,High School,Widowed,13,76884.0,4,0.240894326232736,0.390894326232736
10064,624,0.0760750394342928,54556,33,7,12,18301,1,29,Mortgage,Masters,Divorced,14,384321.0,2,0.2006619715362399,0.3506619715362399
10065,327,0.4542572673236871,86584,51,7,17,5062,7,4,Rent,Masters,Divorced,3,80992.0,5,0.24626881151253235,0.39626881151253235
10066,809,0.92534525388761,48463,69,5,10,19041,11,9,Rent,Masters,Widowed,8,228492.0,2,0.19959689112462292,0.3495968911246229
10067,681,0.104552926978596,60918,59,2,12,11469,6,13,Rent,Masters,Widowed,6,68814.0,1,0.07,0.22
